Open,High,Low,Close,Volume,Date
91.04,92.16,89.6,92.0,2478473,2019-02-04
90.24,91.781,89.84,90.32,2743159,2019-02-05
89.68,91.28,89.056,90.56,2399106,2019-02-06
90.08,90.32,87.054,88.56,2777824,2019-02-07
88.8,89.04,87.76,88.64,1734604,2019-02-08
86.72,88.48,86.16,88.08,2945869,2019-02-11
90.56,90.72,89.04,89.28,2233892,2019-02-12
90.4,91.76899999999999,90.351,90.72,2597723,2019-02-13
90.16,91.84,89.36,91.84,3395522,2019-02-14
92.88,93.84,92.584,93.68,2346180,2019-02-15
93.12,94.4,93.04,94.24,2636742,2019-02-19
93.84,96.16,93.76,95.44,2125911,2019-02-20
95.12,95.52,94.64,95.04,1654337,2019-02-21
96.0,96.48,95.44,95.6,1635109,2019-02-22
93.84,94.16,92.0,92.56,3565645,2019-02-25
92.88,93.6,92.32,93.04,2493223,2019-02-26
94.6,95.92,94.08,95.12,2688472,2019-02-27
95.36,95.944,94.8,95.6,1783633,2019-02-28
95.6,96.24,92.88,93.28,3959204,2019-03-01
94.72,95.28,93.44,94.4,2754205,2019-03-04
95.28,95.44,94.08,94.56,2590208,2019-03-05
93.68,94.31200000000001,92.64,94.0,3225271,2019-03-06
94.64,94.88,94.01299999999999,94.48,2221279,2019-03-07
92.08,93.92,91.12,93.84,3694683,2019-03-08
94.96,95.2,94.16,94.88,2811998,2019-03-11
95.52,96.16,94.8,95.12,2052432,2019-03-12
96.4,97.68,96.24,97.52,3626701,2019-03-13
97.76,98.16,97.086,97.76,2648074,2019-03-14
96.64,97.92,96.48,97.6,2030775,2019-03-15
97.84,98.96,97.64,98.48,2304933,2019-03-18
99.04,99.28,97.885,98.24,1948515,2019-03-19
98.16,100.16,98.0,100.0,2446095,2019-03-20
99.84,100.4,99.12,99.52,1866703,2019-03-21
98.4,98.56,96.88,97.84,2842485,2019-03-22
97.44,98.64,96.64,98.0,2457836,2019-03-25
99.92,100.32,99.2,99.76,2047624,2019-03-26
99.92,100.08,97.76,98.72,2391096,2019-03-27
97.2,98.8,97.12,98.8,2587634,2019-03-28
100.48,100.48,99.36,100.0,2203940,2019-03-29
100.96,102.64,100.64,102.56,2856934,2019-04-01
103.04,104.32,102.8,104.08,2901423,2019-04-02
104.0,104.48,103.2,103.92,3037745,2019-04-03
103.84,104.32,102.88,103.36,2172126,2019-04-04
103.84,105.36,103.76,105.2,2344917,2019-04-05
105.84,107.28,105.84,107.2,2982435,2019-04-08
106.8,107.04,105.92,106.64,3424220,2019-04-09
107.04,107.68,106.64,107.28,2108259,2019-04-10
106.72,107.04,105.44,106.16,2359751,2019-04-11
106.88,107.16,106.24,106.4,2317663,2019-04-12
105.84,106.31,105.12,105.92,1979565,2019-04-15
105.84,107.04,105.04,106.96,1681164,2019-04-16
107.04,107.12,106.08,106.24,1932466,2019-04-17
106.4,106.72,105.84,106.56,1549136,2019-04-18
108.88,109.76,108.8,109.36,2547716,2019-04-22
109.76,110.84,109.64,110.32,2315431,2019-04-23
110.48,110.56,109.28,109.44,1879183,2019-04-24
109.52,109.8,108.0,108.24,2195307,2019-04-25
107.04,107.12,103.68,104.72,5269260,2019-04-26
105.2,106.0,104.44,105.84,2926274,2019-04-29
106.8,106.88,105.44,106.32,2096427,2019-04-30
106.24,106.44,104.48,105.76,3221471,2019-05-01
103.36,103.52,101.52,102.56,5288614,2019-05-02
102.96,104.08,102.8,102.96,3274225,2019-05-03
102.32,104.84,102.31,104.56,4741503,2019-05-06
102.24,102.8,101.04,101.84,3743117,2019-05-07
102.24,103.84,102.0,103.12,2893745,2019-05-08
102.56,102.96,101.48,102.48,2399019,2019-05-09
102.4,103.41,102.3,102.72,2353611,2019-05-10
105.12,105.53,101.12,101.44,4848842,2019-05-13
102.72,103.56,102.48,102.96,2536021,2019-05-14
102.16,104.04,102.08,103.76,2752536,2019-05-15
104.8,105.92,104.64,105.12,2457741,2019-05-16
105.28,106.04,104.25,104.64,2948458,2019-05-17
104.96,105.76,104.24,105.2,2682615,2019-05-20
104.88,105.36,104.4,105.04,1840012,2019-05-21
103.92,104.43,101.52,101.92,3444327,2019-05-22
98.96,98.96,95.36,96.72,5696452,2019-05-23
97.76,97.92,95.62899999999999,97.84,2690882,2019-05-24
98.96,98.96,97.6,97.84,2925529,2019-05-28
96.24,98.24,94.64,97.92,4513234,2019-05-29
98.24,98.32,93.76,94.08,3688590,2019-05-30
91.6,92.28,88.32,88.8,5039956,2019-05-31
90.4,90.56299999999999,87.68,87.92,4144102,2019-06-03
88.56,89.52,87.6,89.28,2809361,2019-06-04
88.08,88.16,84.24,86.16,5199918,2019-06-05
85.92,88.72,85.2,88.48,3949347,2019-06-06
87.76,90.4,87.6,89.84,3269396,2019-06-07
89.84,90.8,88.355,88.88,2936625,2019-06-10
89.52,89.76,88.28,88.88,2360615,2019-06-11
87.04,87.2,84.56,85.12,4382647,2019-06-12
88.56,88.64,86.48,87.04,4366046,2019-06-13
87.36,88.32,86.88,87.52,3216363,2019-06-14
86.8,87.56,86.0,86.48,3940363,2019-06-17
87.92,90.48,87.68,90.0,4511600,2019-06-18
89.12,90.72,88.8,90.64,5144683,2019-06-19
93.52,95.2,93.04,94.8,5822444,2019-06-20
94.88,95.84,94.8,95.76,3071972,2019-06-21
95.6,96.32,94.16,96.08,3329024,2019-06-24
96.28,96.88,95.52,96.0,2896216,2019-06-25
98.32,99.44,98.0,98.32,4382434,2019-06-26
98.32,99.12,98.096,98.32,3304889,2019-06-27
98.64,98.8,95.853,96.32,3607098,2019-06-28
99.52,99.56,96.848,98.24,3918918,2019-07-01
97.68,97.68,93.12,93.6,6164291,2019-07-02
